iter	Passed	Remaining
0	197	197588
1	198	99106
2	199	66237
3	199	49794
4	200	39980
5	201	33397
6	207	29420
7	208	25802
8	208	22988
9	209	20732
10	210	18888
11	210	17353
12	211	16052
13	212	14937
14	213	14016
15	214	13168
16	214	12420
17	215	11753
18	217	11220
19	222	10923
20	223	10428
21	224	9973
22	225	9557
23	225	9176
24	226	8825
25	226	8501
26	227	8201
27	228	7927
28	229	7668
29	229	7426
30	230	7208
31	231	6996
32	233	6839
33	234	6651
34	234	6472
35	235	6304
36	236	6145
37	236	5994
38	237	5851
39	262	6304
40	263	6167
41	267	6099
42	268	5966
43	268	5839
44	269	5717
45	270	5601
46	270	5489
47	271	5382
48	272	5281
49	272	5182
50	273	5088
51	274	5010
52	275	4923
53	276	4838
54	276	4757
55	277	4678
56	278	4606
57	287	4670
58	288	4598
59	288	4527
60	289	4458
61	290	4397
62	291	4333
63	292	4271
64	292	4210
65	293	4151
66	294	4098
67	298	4093
68	299	4041
69	300	3987
70	300	3936
71	301	3885
72	302	3836
73	302	3789
74	303	3742
75	304	3697
76	304	3653
77	305	3610
78	306	3578
79	307	3537
80	308	3497
81	325	3648
82	327	3614
83	328	3576
84	328	3538
85	329	3500
86	329	3463
87	330	3426
88	331	3391
89	331	3356
90	332	3322
91	333	3289
92	333	3256
93	334	3225
94	336	3201
95	336	3170
96	337	3140
97	338	3113
98	338	3084
99	339	3056
100	346	3087
101	347	3059
102	348	3032
103	348	3005
104	349	2979
105	350	2953
106	351	2931
107	351	2906
108	352	2882
109	353	2858
110	353	2834
111	354	2812
112	360	2833
113	361	2811
114	362	2789
115	363	2766
116	363	2743
117	364	2722
118	364	2701
119	365	2680
120	367	2668
121	367	2647
122	368	2627
123	369	2608
124	375	2629
125	376	2609
126	376	2589
127	377	2571
128	378	2552
129	378	2534
130	379	2516
131	380	2498
132	380	2481
133	381	2464
134	381	2447
135	382	2433
136	383	2416
137	384	2400
138	384	2384
139	385	2368
140	386	2354
141	386	2337
142	391	2345
143	392	2330
144	392	2315
145	393	2301
146	394	2286
147	394	2272
148	395	2258
149	396	2244
150	396	2230
151	397	2216
152	398	2207
153	399	2193
154	400	2180
155	400	2167
156	401	2154
157	402	2143
158	410	2169
159	410	2157
160	411	2142
161	411	2130
162	412	2118
163	413	2106
164	414	2096
165	414	2084
166	415	2072
167	416	2061
168	439	2161
169	440	2149
170	440	2137
171	441	2125
172	442	2113
173	442	2102
174	443	2090
175	444	2079
176	444	2068
177	445	2056
178	446	2047
179	447	2037
180	447	2026
181	448	2015
182	449	2005
183	449	1994
184	450	1985
185	454	1988
186	455	1978
187	455	1968
188	456	1958
189	457	1948
190	457	1938
191	458	1928
192	458	1919
193	459	1909
194	460	1900
195	460	1890
196	462	1884
197	470	1906
198	471	1897
199	472	1888
200	472	1879
201	473	1870
202	474	1861
203	474	1852
204	475	1843
205	475	1834
206	476	1825
207	477	1817
208	493	1868
209	496	1866
210	497	1862
211	498	1854
212	508	1878
213	509	1869
214	510	1862
215	510	1854
216	511	1845
217	512	1837
218	512	1828
219	513	1820
220	514	1813
221	521	1828
222	522	1820
223	523	1812
224	523	1804
225	524	1796
226	525	1788
227	526	1783
228	527	1775
229	528	1768
230	528	1760
231	529	1752
232	530	1745
233	535	1752
234	536	1745
235	536	1737
236	537	1730
237	538	1722
238	538	1715
239	539	1708
240	540	1700
241	540	1693
242	593	1847
243	593	1840
244	594	1832
245	626	1920
246	627	1912
247	629	1908
248	634	1915
249	635	1906
250	636	1898
251	636	1890
252	637	1882
253	638	1874
254	638	1866
255	640	1861
256	641	1854
257	642	1846
258	642	1838
259	643	1831
260	644	1824
261	644	1816
262	645	1809
263	658	1836
264	659	1829
265	660	1822
266	661	1815
267	669	1827
268	669	1820
269	670	1812
270	671	1805
271	674	1805
272	675	1797
273	676	1791
274	676	1784
275	677	1776
276	689	1800
277	690	1793
278	691	1786
279	692	1780
280	692	1773
281	704	1793
282	705	1786
283	705	1779
284	706	1772
285	707	1765
286	707	1758
287	708	1751
288	712	1752
289	713	1745
290	713	1739
291	714	1732
292	715	1725
293	715	1718
294	717	1714
295	717	1707
296	718	1700
297	719	1694
298	720	1690
299	721	1683
300	722	1677
301	722	1670
302	723	1664
303	724	1658
304	725	1652
305	733	1662
306	733	1656
307	734	1650
308	735	1643
309	736	1638
310	736	1632
311	737	1626
312	738	1620
313	738	1614
314	739	1608
315	740	1602
316	741	1596
317	741	1590
318	748	1597
319	748	1591
320	749	1585
321	750	1579
322	750	1573
323	754	1573
324	754	1567
325	755	1562
326	756	1556
327	766	1569
328	766	1564
329	768	1559
330	769	1556
331	770	1550
332	771	1544
333	772	1539
334	782	1553
335	784	1550
336	785	1544
337	785	1539
338	786	1533
339	787	1527
340	788	1522
341	791	1523
342	792	1518
343	793	1512
344	794	1507
345	794	1502
346	795	1496
347	796	1491
348	796	1486
349	801	1488
350	801	1482
351	802	1477
352	803	1472
353	804	1467
354	804	1462
355	813	1471
356	814	1466
357	816	1464
358	817	1459
359	817	1453
360	818	1448
361	819	1444
362	820	1439
363	820	1434
364	835	1453
365	836	1448
366	836	1443
367	840	1443
368	841	1438
369	841	1433
370	842	1428
371	843	1423
372	844	1418
373	844	1413
374	845	1408
375	845	1403
376	846	1399
377	867	1426
378	868	1422
379	878	1432
380	878	1427
381	882	1427
382	882	1422
383	883	1417
384	884	1412
385	896	1426
386	897	1421
387	898	1416
388	898	1411
389	899	1407
390	900	1402
391	908	1409
392	909	1405
393	915	1407
394	915	1402
395	916	1398
396	917	1393
397	918	1388
398	931	1403
399	932	1398
400	933	1393
401	933	1389
402	934	1384
403	945	1394
404	946	1390
405	946	1385
406	947	1380
407	948	1375
408	948	1370
409	949	1366
410	950	1361
411	950	1356
412	955	1357
413	956	1353
414	956	1348
415	957	1344
416	959	1341
417	960	1336
418	960	1332
419	961	1327
420	961	1322
421	962	1318
422	963	1313
423	963	1309
424	964	1305
425	965	1300
426	965	1296
427	970	1297
428	975	1298
429	976	1293
430	976	1289
431	977	1285
432	978	1280
433	978	1276
434	979	1272
435	980	1267
436	980	1263
437	981	1259
438	982	1254
439	990	1260
440	990	1256
441	991	1251
442	992	1247
443	993	1243
444	993	1239
445	994	1235
446	995	1230
447	995	1226
448	996	1222
449	996	1218
450	997	1214
451	1020	1237
452	1021	1233
453	1022	1229
454	1023	1225
455	1023	1221
456	1024	1217
457	1025	1213
458	1025	1209
459	1026	1204
460	1027	1200
461	1027	1196
462	1028	1192
463	1029	1188
464	1029	1184
465	1030	1180
466	1031	1176
467	1031	1173
468	1032	1169
469	1033	1165
470	1033	1161
471	1034	1157
472	1035	1153
473	1035	1149
474	1036	1145
475	1037	1141
476	1037	1137
477	1067	1166
478	1068	1162
479	1069	1158
480	1069	1154
481	1070	1150
482	1071	1147
483	1072	1143
484	1073	1139
485	1073	1135
486	1074	1131
487	1075	1127
488	1075	1124
489	1076	1120
490	1076	1116
491	1077	1112
492	1078	1108
493	1078	1105
494	1079	1101
495	1080	1097
496	1084	1097
497	1085	1093
498	1086	1090
499	1086	1086
500	1087	1083
501	1088	1079
502	1088	1075
503	1089	1072
504	1090	1068
505	1090	1064
506	1091	1061
507	1091	1057
508	1092	1053
509	1093	1050
510	1093	1046
511	1094	1043
512	1095	1039
513	1095	1036
514	1100	1036
515	1101	1033
516	1102	1030
517	1103	1026
518	1103	1023
519	1104	1019
520	1105	1016
521	1105	1012
522	1106	1009
523	1107	1005
524	1107	1002
525	1108	998
526	1109	995
527	1109	992
528	1110	988
529	1111	985
530	1124	992
531	1124	989
532	1125	986
533	1126	982
534	1126	979
535	1127	975
536	1131	975
537	1131	971
538	1132	968
539	1133	965
540	1134	962
541	1135	959
542	1136	956
543	1136	953
544	1137	949
545	1138	946
546	1138	943
547	1139	939
548	1140	936
549	1140	933
550	1141	930
551	1142	926
552	1142	923
553	1146	922
554	1147	919
555	1155	922
556	1156	919
557	1157	916
558	1157	913
559	1158	910
560	1159	907
561	1162	906
562	1163	903
563	1164	900
564	1165	897
565	1166	894
566	1167	891
567	1167	888
568	1168	884
569	1168	881
570	1169	878
571	1170	875
572	1170	872
573	1171	869
574	1172	866
575	1172	863
576	1173	860
577	1174	857
578	1174	854
579	1180	854
580	1180	851
581	1181	848
582	1182	845
583	1183	842
584	1183	839
585	1184	836
586	1185	833
587	1185	830
588	1186	827
589	1187	824
590	1187	821
591	1188	818
592	1188	816
593	1189	813
594	1190	810
595	1197	811
596	1197	808
597	1198	805
598	1199	802
599	1199	799
600	1200	797
601	1201	794
602	1201	791
603	1202	788
604	1203	785
605	1203	782
606	1204	779
607	1205	776
608	1205	774
609	1210	773
610	1210	770
611	1211	768
612	1212	765
613	1213	762
614	1214	760
615	1214	757
616	1215	754
617	1216	751
618	1216	748
619	1217	746
620	1218	743
621	1218	740
622	1219	737
623	1220	735
624	1220	732
625	1221	729
626	1222	727
627	1222	724
628	1223	721
629	1224	718
630	1224	716
631	1225	713
632	1229	712
633	1229	710
634	1230	707
635	1231	704
636	1232	702
637	1233	699
638	1233	697
639	1234	694
640	1235	691
641	1235	689
642	1236	686
643	1237	683
644	1237	681
645	1238	678
646	1239	676
647	1239	673
648	1240	670
649	1428	769
650	1429	766
651	1431	763
652	1431	760
653	1432	757
654	1433	754
655	1434	752
656	1435	749
657	1436	746
658	1436	743
659	1438	740
660	1439	738
661	1440	735
662	1442	733
663	1442	730
664	1443	727
665	1444	724
666	1446	721
667	1446	719
668	1447	716
669	1485	731
670	1486	728
671	1487	725
672	1488	722
673	1488	720
674	1489	717
675	1489	714
676	1490	711
677	1491	708
678	1491	705
679	1492	702
680	1493	699
681	1493	696
682	1494	693
683	1501	693
684	1502	690
685	1503	688
686	1503	685
687	1504	682
688	1505	679
689	1505	676
690	1506	673
691	1507	670
692	1507	667
693	1508	665
694	1509	662
695	1509	659
696	1510	656
697	1514	655
698	1514	652
699	1515	649
700	1516	646
701	1517	644
702	1518	641
703	1518	638
704	1519	635
705	1519	632
706	1520	630
707	1521	627
708	1521	624
